name,img,isbn,publish_date,pages
增广贤文全鉴（典藏诵读版）,https://img.dushu.com/2019/06/10/095830280125322932.jpg_200.jpg,9787518060917,2019-06-01,320
孝经全鉴（典藏诵读版）,https://img.dushu.com/2019/05/20/09535814841165.jpg_200.jpg,9787518060818,2019-05-01,320
格言联璧全鉴（典藏诵读版）,https://img.dushu.com/2019/05/20/0953504534843726.jpg_200.jpg,9787518061297,2019-05-01,320
论语新解,https://img.dushu.com/2019/05/24/094931875106841916.png_200.jpg,9787010203980,2019-03-01,442
楚辞全鉴（典藏诵读版）,https://img.dushu.com/2019/05/20/0953544134845199.jpg_200.jpg,9787518060870,2019-05-01,320
陪孩子读古诗词（套装共4册）,https://img.dushu.com/2019/05/20/095359374847370.jpg_200.jpg,9787201145471,2019-05-01,732
婉约词全鉴（典藏诵读版）,https://img.dushu.com/2019/05/20/0953555414842484.jpg_200.jpg,9787518060900,2019-05-01,320
老子新解,https://img.dushu.com/2019/05/24/094933672106849899.png_200.jpg,9787010203973,2019-03-01,222
曾子文章学（套装全2册）,https://img.dushu.com/2019/05/24/094934822106849136.jpg_200.jpg,9787100167840,2019-03-01,
墨子新解,https://img.dushu.com/2019/05/24/094935962106848.png_200.jpg,9787010204000,2019-03-01,670
庄子新解,https://img.dushu.com/2019/05/24/094937152106846421.png_200.jpg,9787010203997,2019-03-01,538
孙子兵法新解,https://img.dushu.com/2019/05/24/094938232106848166.png_200.jpg,9787010204017,2019-03-01,282
最美古诗词全鉴（典藏诵读版）,https://img.dushu.com/2019/05/20/0953487934842363.jpg_200.jpg,9787518060801,2019-05-01,320
智囊全鉴（典藏诵读版）,https://img.dushu.com/2019/05/20/0953566414841405.jpg_200.jpg,9787518061310,2019-05-01,320
中华成语典故全鉴（典藏诵读版）,https://img.dushu.com/2019/05/20/0953533814848994.jpg_200.jpg,9787518060924,2019-05-01,320
李杜诗选（套装上下册）,https://img.dushu.com/2019/05/20/0953523044847249.jpg_200.jpg,9787534886119,2019-05-01,
素书诠解,https://img.dushu.com/2018/07/27/102619692130523181.jpg_200.jpg,9787558037214,2018-07-01,368
小窗幽记,https://img.dushu.com/2018/08/04/153716975170083739.jpg_200.jpg,9787551817400,2018-05-01,
让孩子胃口好身体棒长高个：儿童健康成长实用育儿养护指南,https://img.dushu.com/2019/06/05/11201266925024809.jpg_200.jpg,9787538899160,2019-05-01,
新美南吉童话经典：丰富美好的想象力童书（套装共4册）,https://img.dushu.com/2019/06/10/100049551125328506.jpg_200.jpg,9787570704521,2019-06-01,488
诗情画意之壹,https://img.dushu.com/2016/12/14/1322143552924607.jpg_200.jpg,9787540779474,2016-12-01,
诗情画意之叁,https://img.dushu.com/2016/12/14/13221447552843638.jpg_200.jpg,9787540779498,2016-12-01,
以史为鉴之五字鉴,https://img.dushu.com/2016/12/14/13221499529244129.jpg_200.jpg,9787540779450,2016-12-01,
诸子百家之智慧故事,https://img.dushu.com/2016/12/14/13221380552848164.jpg_200.jpg,9787540779412,2016-12-01,140
