name,tel,email,address,url,boss_name,create_time
安徽惠商汽车贸易有限公司,13966751298,2426373799@qq.com, 合肥市包河区美菱大道448号3幢6022,,,
芜湖华彬置业有限公司,13956625758,670327738@qq.com, 安徽省芜湖市鸠江区官陡街道十里社区十里创业园二幢116-117室,,,
安徽富泽网络科技有限公司,13866750474,115353281@qq.com, 合肥市瑶海区临泉路以北香格里拉花园国际中心A2708室,http://www.fuzesci-tech.com,,
安徽省楠木青城再生资源有限公司,18255423645,718155091@qq.com, 安徽省合肥市经济技术开发区繁华大道北佛掌路西2幢厂房,,,
安徽八邦商贸有限公司,18605611158,18605611158@qq.com, 濉溪县五沟镇五沟新街新时代步行街193号,,,
合肥影和医学影像诊断中心有限公司,15921782209,tao.xu@united-imaging.com," 安徽省合肥市经济技术开发区合肥市经开区莲花路西,石门路北尚泽时代广场A...",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
